id,state,start_date,end_date,race_type,special,primary_type,primary_note,prez,senate,house,gov,state_officers,state_leg,portal_link,direct_links,county_level,county_level_status,precinct_level,precinct_level_status,cong_dist_level,cong_dist_level_status,state_leg_level,state_leg_level_status,state_level,state_level_status,result_type,absentee_and_provisional,user_fullname
1892,WI,2019-04-30,2019-04-30,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/node/6519,https://elections.wi.gov/files/Assembly%2064%20Special%20Election-Ward%20by%20Ward%20Report.xlsx,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1891,WI,2019-04-02,2019-04-02,general,False,,,False,False,False,False,True,False,https://elections.wi.gov/elections-voting/results/2019/spring-election,"https://elections.wi.gov/files/Spring%20Election%204.2.19-WxW%20Report-Supreme%20Court.xlsx, 
https://elections.wi.gov/files/Spring%20Election%204.2.19-WxW%20Report-Court%20of%20Appeals.xlsx, 
https://elections.wi.gov/files/Spring%20Election%204.2.19-WxW%20Report-Circuit%20Court.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1890,WI,2019-04-02,2019-04-02,primary,True,open,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2019/special-primary-ad64,https://elections.wi.gov/files/2019-04/Assm%2064%20Special%20Primary%204.2.19%20WxW%20Report.xlsx,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1889,WI,2019-02-19,2019-02-19,primary,False,other,Non-partisan,False,False,False,False,False,False,https://elections.wi.gov/elections-voting/results/2019/spring-primary,https://elections.wi.gov/files/Ward%20by%20Ward%20Report%20-Spring%20Primary.xlsx,False,,True,yes,False,,False,,False,,certified,False,"Post, Davi"
1886,WI,2018-11-06,2018-11-06,general,False,,,False,True,True,True,True,True,https://elections.wi.gov/node/6300,"https://elections.wi.gov/files/Ward%20by%20Ward%20Report-Gen%20Election-Statewide%20Constitutional%20Offices.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20Report-Gen%20Election-US%20Senator.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20Report-Gen%20Election-Congress.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20Report-Gen%20Election-State%20Senator.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20Report-Gen%20Election-Assembly.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Post, Davi"
1878,WI,2018-08-14,2018-08-14,primary,False,open,,False,True,True,True,True,True,https://elections.wi.gov/elections-voting/results/2018/partisan-primary,"https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20Representative%20in%20Congress%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20Representative%20to%20the%20Assembly%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20State%20Senator%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20United%20States%20Senator%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20Governor%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20Lieutenant%20Governor%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20Attorney%20General%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20Secretary%20of%20State%208.14.18.xlsx, 
https://elections.wi.gov/files/Ward%20by%20Ward%20-%20Partisan%20Primary%20-%20State%20Treasurer%208.14.18.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1874,WI,2018-06-12,2018-06-12,general,True,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2018/special-election-sd1-ad42,"http://elections.wi.gov/files/Ward%20by%20Ward%20Report-6.12.18%20Special%20Election%20Senate%201.xlsx, 
http://elections.wi.gov/files/Ward%20by%20Ward%20Report-6.12.18%20Special%20Election%20Assembly%2042.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Post, Davi"
1873,WI,2018-05-15,2018-05-15,primary,True,open,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2018/special-primary-sd1-ad42,"https://elections.wi.gov/files/Ward%20by%20Ward%20Report%20all%20parties%205.15.18%20Special%20Primary%20Assembly%2042.xlsx, 
https://elections.wi.gov/files/Ward%20Report-Special%20Partisan%20Primary-Senate%201-5.15.18%20%28All%20Parties%29.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Post, Davi"
1866,WI,2018-04-03,2018-04-03,general,False,,,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2018/spring-election,"http://elections.wi.gov/files/Ward%20Report-4.3.18%20Spring%20Election-Supreme%20Court.xlsx, 
http://elections.wi.gov/files/Ward%20Report-4.3.18%20Spring%20Election-Appeals.xlsx, 
http://elections.wi.gov/files/Ward%20Report-4%2C.3.18%20Spring%20Election-Circuit%20Court-Includes%20Sauk%203%20Recount.xlsx",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1864,WI,2018-02-20,2018-02-20,primary,False,other,Non-partisan,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2018/spring-primary,http://elections.wi.gov/files/Ward%20by%20Ward.all%20offices.spring%20primary.2.20.18.xlsx,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
